The Philadelphia 76ers ( 2 - 1 ) defeated the Orlando Magic ( 1 - 2 ) 116 - 115 on Saturday at Wells_Fargo_Center. Joel Embiid scored 32 points ( 13 - 26 FG , 3 - 5 3Pt , 3 - 4 FT ) to go with 10 rebounds . Evan Fournier scored 31 points ( 12 - 23 FG , 6 - 10 3Pt , 1 - 1 FT ) to go with 4 rebounds . JJ Redick scored 31 points ( 10 - 20 FG , 8 - 13 3Pt , 3 - 3 FT ) to go with 4 rebounds . Nikola Vucevic scored 27 points ( 10 - 15 FG , 4 - 4 3Pt , 3 - 3 FT ) to go with 13 rebounds . Aaron Gordon scored 20 points ( 7 - 12 FG , 0 - 1 3Pt , 6 - 9 FT ) to go with 12 rebounds . Terrence Ross scored 15 points ( 5 - 14 FG , 3 - 5 3Pt , 2 - 2 FT ) to go with 4 rebounds . The 76ers ' next game will be against the Pistons . The Magic ' next game will be against the Celtics .
The Philadelphia 76ers ( 10 - 7 ) defeated the Utah Jazz ( 7 - 8 ) 113 - 107 on Friday at Wells_Fargo_Center. Donovan Mitchell scored 31 points ( 13 - 35 FG , 1 - 11 3Pt , 4 - 7 FT ) to go with 2 rebounds . Jimmy Butler scored 28 points ( 12 - 15 FG , 2 - 3 3Pt , 2 - 5 FT ) to go with 3 rebounds . Joel Embiid scored 23 points ( 7 - 20 FG , 1 - 4 3Pt , 8 - 9 FT ) to go with 7 rebounds . JJ Redick scored 16 points ( 5 - 8 FG , 1 - 3 3Pt , 5 - 7 FT ) to go with 2 rebounds . Joe Ingles scored 14 points ( 6 - 12 FG , 2 - 5 3Pt , 0 - 0 FT ) to go with 2 rebounds . Ricky Rubio scored 13 points ( 4 - 8 FG , 1 - 2 3Pt , 4 - 9 FT ) to go with 3 rebounds . The 76ers ' next game will be against the Hornets . The Jazz ' next game will be against the Celtics .
The Philadelphia 76ers ( 17 - 8 ) defeated the Memphis Grizzlies ( 13 - 9 ) 103 - 95 on Sunday at Wells_Fargo_Center. JJ Redick scored 24 points ( 9 - 17 FG , 3 - 6 3Pt , 3 - 3 FT ) to go with 3 rebounds . Mike Conley scored 21 points ( 6 - 17 FG , 3 - 6 3Pt , 6 - 7 FT ) to go with 2 rebounds . Jimmy Butler scored 21 points ( 7 - 17 FG , 0 - 4 3Pt , 7 - 8 FT ) to go with 3 rebounds . Ben Simmons scored 19 points ( 8 - 10 FG , 0 - 0 3Pt , 3 - 8 FT ) to go with 12 rebounds . Jaren Jackson Jr. scored 17 points ( 5 - 10 FG , 1 - 4 3Pt , 6 - 6 FT ) to go with 3 rebounds . Joel Embiid scored 15 points ( 4 - 13 FG , 0 - 2 3Pt , 7 - 8 FT ) to go with 14 rebounds . The 76ers ' next game will be against the Raptors . The Grizzlies ' next game will be against the Clippers .
The Indiana Pacers ( 19 - 10 ) defeated the Philadelphia 76ers ( 19 - 11 ) 113 - 101 on Friday at Wells_Fargo_Center. Joel Embiid scored 40 points ( 13 - 22 FG , 1 - 6 3Pt , 13 - 16 FT ) to go with 21 rebounds . Thaddeus Young scored 26 points ( 9 - 19 FG , 0 - 2 3Pt , 8 - 9 FT ) to go with 10 rebounds . JJ Redick scored 22 points ( 8 - 19 FG , 4 - 12 3Pt , 2 - 2 FT ) to go with 0 rebounds . Ben Simmons scored 18 points ( 7 - 15 FG , 0 - 0 3Pt , 4 - 8 FT ) to go with 9 rebounds . Bojan Bogdanovic scored 18 points ( 7 - 13 FG , 3 - 5 3Pt , 1 - 1 FT ) to go with 5 rebounds . Victor Oladipo scored 14 points ( 5 - 16 FG , 0 - 2 3Pt , 4 - 4 FT ) to go with 1 rebounds . The 76ers ' next game will be against the Cavaliers . The Pacers ' next game will be against the Knicks .
The Philadelphia 76ers ( 26 - 14 ) defeated the Dallas Mavericks ( 18 - 21 ) 106 - 100 on Saturday at Wells_Fargo_Center. Joel Embiid scored 25 points ( 7 - 17 FG , 1 - 3 3Pt , 10 - 11 FT ) to go with 12 rebounds . Ben Simmons scored 20 points ( 9 - 16 FG , 0 - 0 3Pt , 2 - 6 FT ) to go with 13 rebounds . JJ Redick scored 20 points ( 8 - 14 FG , 2 - 6 3Pt , 2 - 3 FT ) to go with 2 rebounds . Wesley Matthews scored 18 points ( 7 - 11 FG , 4 - 7 3Pt , 0 - 0 FT ) to go with 2 rebounds . Ryan Broekhoff scored 15 points ( 6 - 8 FG , 3 - 5 3Pt , 0 - 0 FT ) to go with 1 rebounds . Luka Doncic scored 14 points ( 4 - 16 FG , 1 - 8 3Pt , 5 - 10 FT ) to go with 9 rebounds . The 76ers ' next game will be against the Wizards . The Mavericks ' next game will be against the Lakers .
The Atlanta Hawks ( 13 - 29 ) defeated the Philadelphia 76ers ( 27 - 16 ) 123 - 121 on Friday at Wells_Fargo_Center. Jimmy Butler scored 30 points ( 9 - 19 FG , 0 - 1 3Pt , 12 - 14 FT ) to go with 4 rebounds . Kevin Huerter scored 29 points ( 11 - 17 FG , 5 - 8 3Pt , 2 - 2 FT ) to go with 3 rebounds . John Collins scored 25 points ( 10 - 17 FG , 1 - 1 3Pt , 4 - 6 FT ) to go with 9 rebounds . Ben Simmons scored 23 points ( 10 - 13 FG , 0 - 0 3Pt , 3 - 7 FT ) to go with 10 rebounds . JJ Redick scored 20 points ( 7 - 21 FG , 4 - 14 3Pt , 2 - 2 FT ) to go with 1 rebounds . Dewayne Dedmon scored 19 points ( 7 - 11 FG , 3 - 5 3Pt , 2 - 2 FT ) to go with 8 rebounds . The 76ers ' next game will be against the Knicks . The Hawks ' next game will be against the Bucks .
The Oklahoma_City Thunder ( 27 - 18 ) defeated the Philadelphia 76ers ( 30 - 17 ) 117 - 115 on Saturday at Wells_Fargo_Center. Joel Embiid scored 31 points ( 11 - 19 FG , 1 - 5 3Pt , 8 - 12 FT ) to go with 8 rebounds . Paul George scored 31 points ( 8 - 20 FG , 4 - 9 3Pt , 11 - 11 FT ) to go with 6 rebounds . JJ Redick scored 22 points ( 6 - 13 FG , 4 - 10 3Pt , 6 - 7 FT ) to go with 2 rebounds . Russell Westbrook scored 21 points ( 8 - 21 FG , 1 - 6 3Pt , 4 - 7 FT ) to go with 10 rebounds . Dennis Schroder scored 21 points ( 8 - 18 FG , 3 - 5 3Pt , 2 - 2 FT ) to go with 4 rebounds . Ben Simmons scored 20 points ( 8 - 12 FG , 0 - 0 3Pt , 4 - 8 FT ) to go with 14 rebounds . The 76ers ' next game will be against the Rockets . The Thunder ' next game will be against the Knicks .
The Philadelphia 76ers ( 36 - 20 ) defeated the Los_Angeles Lakers ( 28 - 28 ) 143 - 120 on Sunday at Wells_Fargo_Center. Kyle Kuzma scored 39 points ( 14 - 21 FG , 5 - 8 3Pt , 6 - 7 FT ) to go with 3 rebounds . Joel Embiid scored 37 points ( 12 - 16 FG , 2 - 3 3Pt , 11 - 12 FT ) to go with 14 rebounds . Tobias Harris scored 22 points ( 9 - 14 FG , 3 - 5 3Pt , 1 - 2 FT ) to go with 6 rebounds . JaVale McGee scored 21 points ( 10 - 15 FG , 0 - 0 3Pt , 1 - 3 FT ) to go with 13 rebounds . JJ Redick scored 21 points ( 8 - 13 FG , 3 - 6 3Pt , 2 - 2 FT ) to go with 2 rebounds . Brandon Ingram scored 19 points ( 6 - 11 FG , 0 - 0 3Pt , 7 - 7 FT ) to go with 4 rebounds . The 76ers ' next game will be against the Celtics . The Lakers ' next game will be against the Hawks .
The Philadelphia 76ers ( 41 - 23 ) defeated the Orlando Magic ( 30 - 36 ) 114 - 106 on Tuesday at Wells_Fargo_Center. JJ Redick scored 26 points ( 8 - 16 FG , 6 - 9 3Pt , 4 - 4 FT ) to go with 5 rebounds . Evan Fournier scored 25 points ( 9 - 21 FG , 5 - 10 3Pt , 2 - 2 FT ) to go with 2 rebounds . Aaron Gordon scored 24 points ( 9 - 18 FG , 2 - 7 3Pt , 4 - 6 FT ) to go with 9 rebounds . Tobias Harris scored 21 points ( 8 - 15 FG , 1 - 3 3Pt , 4 - 4 FT ) to go with 12 rebounds . Jonathan Isaac scored 16 points ( 6 - 12 FG , 4 - 8 3Pt , 0 - 0 FT ) to go with 5 rebounds . Ben Simmons scored 16 points ( 6 - 15 FG , 0 - 0 3Pt , 4 - 5 FT ) to go with 13 rebounds . The 76ers ' next game will be against the Bulls . The Magic ' next game will be against the Mavericks .
The Philadelphia 76ers ( 51 - 31 ) defeated the Chicago Bulls ( 22 - 60 ) 125 - 109 on Wednesday at Wells_Fargo_Center. Walt Lemon scored 20 points ( 9 - 19 FG , 2 - 2 3Pt , 0 - 0 FT ) to go with 6 rebounds . Jonathon Simmons scored 20 points ( 8 - 14 FG , 3 - 6 3Pt , 1 - 2 FT ) to go with 7 rebounds . Boban Marjanovic scored 18 points ( 8 - 12 FG , 2 - 3 3Pt , 0 - 0 FT ) to go with 8 rebounds . TJ McConnell scored 18 points ( 9 - 10 FG , 0 - 0 3Pt , 0 - 0 FT ) to go with 2 rebounds . Zhaire Smith scored 17 points ( 7 - 13 FG , 2 - 5 3Pt , 1 - 2 FT ) to go with 4 rebounds . Ryan Arcidiacono scored 14 points ( 5 - 9 FG , 1 - 2 3Pt , 3 - 3 FT ) to go with 6 rebounds .
The Milwaukee Bucks ( 8 - 1 ) defeated the Sacramento Kings ( 6 - 4 ) 144 - 109 on Sunday at Fiserv_Forum. Giannis Antetokounmpo scored 26 points ( 8 - 11 FG , 1 - 2 3Pt , 9 - 12 FT ) to go with 15 rebounds . Justin Jackson scored 22 points ( 9 - 12 FG , 4 - 7 3Pt , 0 - 0 FT ) to go with 0 rebounds . Buddy Hield scored 19 points ( 8 - 15 FG , 2 - 5 3Pt , 1 - 1 FT ) to go with 4 rebounds . Eric Bledsoe scored 17 points ( 6 - 11 FG , 1 - 5 3Pt , 4 - 4 FT ) to go with 6 rebounds . De'Aaron Fox scored 15 points ( 6 - 14 FG , 3 - 5 3Pt , 0 - 0 FT ) to go with 6 rebounds . Ersan Ilyasova scored 15 points ( 4 - 7 FG , 3 - 5 3Pt , 4 - 4 FT ) to go with 4 rebounds . The Bucks ' next game will be against the Trail_Blazers . The Kings ' next game will be against the Raptors .
